width	depth	height	tilt	instances
155	90	90	TRUE	3
150	90	90	TRUE	3
105	90	90	TRUE	2
155	90	90	TRUE	2
125	90	90	TRUE	2
150	90	90	TRUE	2
125	90	90	TRUE	3
125	90	90	TRUE	2
105	90	90	TRUE	2
130	90	90	TRUE	2
150	90	90	TRUE	2
150	90	90	TRUE	2
155	90	90	TRUE	3
150	90	90	TRUE	2
125	90	90	TRUE	2
155	90	90	TRUE	3
150	90	90	TRUE	3
125	90	90	TRUE	3
155	90	90	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	3
155	90	90	TRUE	3
105	90	90	TRUE	2
125	90	90	TRUE	3
110	95	85	TRUE	3
125	90	90	TRUE	3
150	90	90	TRUE	3
155	90	90	TRUE	3
150	90	90	TRUE	3
150	90	90	TRUE	3
130	90	90	TRUE	3
150	90	90	TRUE	3
150	90	90	TRUE	3
125	90	90	TRUE	3
130	90	90	TRUE	3
150	90	90	TRUE	3
150	90	90	TRUE	3
155	90	90	TRUE	2
205	90	90	TRUE	2
205	95	90	TRUE	2
255	100	90	TRUE	2
255	95	90	TRUE	2
150	90	90	TRUE	3
150	90	90	TRUE	1
155	90	90	TRUE	1
150	90	90	TRUE	1
205	90	90	TRUE	2
205	90	90	TRUE	1
255	100	90	TRUE	2
255	100	90	TRUE	1
255	100	90	TRUE	2
95	100	325	TRUE	1
95	100	325	TRUE	1
95	100	325	TRUE	1
60	45	90	TRUE	2
60	65	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
60	65	90	TRUE	2
150	90	90	TRUE	1
60	45	90	TRUE	2
150	90	90	TRUE	2
125	90	90	TRUE	2
150	90	90	TRUE	2
150	90	90	TRUE	2
75	90	90	TRUE	2
150	90	90	TRUE	1
125	90	90	TRUE	2
150	90	90	TRUE	2
125	90	90	TRUE	2
150	90	90	TRUE	2
150	90	90	TRUE	2
130	90	90	TRUE	3
205	90	90	TRUE	3
130	95	225	TRUE	2
185	90	90	TRUE	2
130	95	225	TRUE	1
150	90	90	TRUE	2
205	90	90	TRUE	2
125	90	90	TRUE	3
155	90	90	TRUE	2
125	90	90	TRUE	3
160	90	90	TRUE	3
150	90	90	TRUE	3
80	90	90	TRUE	3
90	60	90	TRUE	3
75	90	90	TRUE	3
110	90	90	TRUE	3
75	90	90	TRUE	3
75	90	90	TRUE	3
80	90	90	TRUE	3
105	90	90	TRUE	3
125	90	90	TRUE	3
155	90	90	TRUE	3
125	90	90	TRUE	3
150	90	90	TRUE	3
80	90	90	TRUE	3
75	90	90	TRUE	3
105	90	90	TRUE	3
135	90	90	TRUE	3
75	90	90	TRUE	3
105	90	90	TRUE	3
135	90	90	TRUE	3
150	90	90	TRUE	3
180	90	90	TRUE	3
105	90	90	TRUE	3
135	90	90	TRUE	2
105	90	90	TRUE	3
150	90	90	TRUE	3
185	90	90	TRUE	3
105	90	90	TRUE	3
155	90	90	TRUE	3
150	90	90	TRUE	2
155	90	90	TRUE	3
125	90	90	TRUE	3
150	90	90	TRUE	3
230	90	90	TRUE	3
135	90	90	TRUE	3
150	90	90	TRUE	3
150	90	90	TRUE	3
230	90	90	TRUE	2
155	90	90	TRUE	3
90	60	90	TRUE	2
75	90	90	TRUE	2
90	90	80	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	2
110	90	90	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	2
110	90	90	TRUE	2
100	90	90	TRUE	3
125	90	90	TRUE	3
160	90	90	TRUE	2
125	90	90	TRUE	3
150	90	90	TRUE	3
130	95	225	TRUE	2
90	60	90	TRUE	2
80	88	95	TRUE	2
140	200	90	TRUE	2
75	90	90	TRUE	2
110	90	90	TRUE	2
105	90	90	TRUE	2
125	90	90	TRUE	2
110	90	90	TRUE	2
125	90	90	TRUE	2
150	90	90	TRUE	2
125	90	225	TRUE	2
185	90	90	TRUE	2
105	90	90	TRUE	3
125	90	90	TRUE	3
205	95	90	TRUE	3
200	95	95	TRUE	3
90	60	90	TRUE	3
75	90	90	TRUE	3
105	90	90	TRUE	3
130	90	90	TRUE	3
60	45	90	TRUE	3
60	65	90	TRUE	3
65	65	90	TRUE	3
75	90	90	TRUE	3
105	90	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
42	50	90	TRUE	3
60	45	90	TRUE	3
60	45	90	TRUE	3
160	90	90	TRUE	2
105	90	90	TRUE	2
105	90	90	TRUE	2
80	90	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
42	50	90	TRUE	2
45	65	90	TRUE	2
60	45	90	TRUE	2
60	45	90	TRUE	2
110	90	90	TRUE	2
125	90	90	TRUE	2
90	60	90	TRUE	2
130	90	90	TRUE	2
75	90	90	TRUE	2
125	90	90	TRUE	3
90	60	90	TRUE	3
90	90	60	TRUE	3
90	90	75	TRUE	3
110	90	90	TRUE	3
90	90	75	TRUE	3
